sampleID.x,points,individualID,uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,measuredBy,recordedBy,dataQF,api.utmZone,geoEasting,geoNorthing,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,api.elevation,adjElevationUncertainty,collectDate,nitrogenPercent,carbonPercent,CNratio,extractChlAConc,extractChlBConc,extractCarotConc,dryMass,plantStatus,ligninPercent,cellulosePercent,leafArea,leafMassPerArea,dryMassFraction,plotType,subtype,plotLatitude,plotLongitude,datum,utmZone,plotEasting,plotNorthing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,geometry,shpEasting,shpNorthing,longitude,latitude,H,DTM,ope,ect
CFC.BONA093.POBA2-4.20190731,BONA_093.basePlot.vst.59,NEON.PLA.D19.BONA.03587,525d8fb2-2be9-417a-8985-238f2addec3a,BONA_093.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_093,39,NaN,59,6.3,266,NA,NA,NA,NEON.DOC.000987vG,POBA2,Populus balsamifera L.,species,whendricks@battelleecology.org,avandenberg@battelleecology.org,NA,6N,7225932.87,476335.1159,0.77,65.155983,-147.504651,250.57,1.26,2019-07-31T18:58:00Z,1.8,45.8,27.8,14.533,4.079,4.363,1.881,Insect damaged,19.44,14.14,23685.66,79.41514,0.393679364,tower,basePlot,65.155983,-147.504651,WGS84,6N,476341.377,7225933.274,0.17,Geo 7X,250.57,0.26,mixedForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-147.504651, 65.155983)",476335.0923,7225932.835,-147.5047855,65.15597829,10.15999985,253.3400002,8.261124998,128.2940621
CFC.CLBJ008.PRME-1.20190501,CLBJ_008.basePlot.vst.41,NEON.PLA.D11.CLBJ.00946,c1c40ddb-8bd1-4050-b3e7-3f64dc1fcea7,CLBJ_008.basePlot.vst,3/31/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_008,31,NaN,41,9.4,74.1,NA,NA,NA,NEON.DOC.000987vE,PRME,Prunus mexicana S. Watson,species,mkelley@field-ops.org,cwhiting@field-ops.org,NA,14N,3696539.086,633000.5197,0.7,33.399913,-97.569922,273.03,1.1,2019-05-01T15:24:00Z,2.175,47.71,21.95,14.491,4.657,4.306,1.344,OK,9.79,8.8,20556.08,65.382116,0.362166532,tower,basePlot,33.399913,-97.569922,WGS84,14N,632991.453,3696536.528,0.1,Geo 7X (H-Star),273.03,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.569922, 33.399913)",633000.4934,3696539.103,-97.56982471,33.39993526,9.19299984,279.175499,4.420875072,6.151000015
CFC.CLBJ008.QUST-3.20190501,CLBJ_008.basePlot.vst.31,NEON.PLA.D11.CLBJ.00988,cd9655d7-f13a-489d-8913-d4823ed28261,CLBJ_008.basePlot.vst,3/31/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_008,31,NaN,31,1.2,83.2,NA,NA,NA,NEON.DOC.000987vE,QUST,Quercus stellata Wangenh.,species,mkelley@field-ops.org,cwhiting@field-ops.org,NA,14N,3696526.425,632982.7651,0.7,33.399822,-97.57003,274.14,1.1,2019-05-01T16:06:00Z,2.33,47.57,20.4,11.556,3.327,2.326,1.936,Insect damaged,12.76,16.8,18759.93,103.198679,0.395829074,tower,basePlot,33.399822,-97.57003,WGS84,14N,632981.599,3696526.273,0.1,Geo 7X (H-Star),274.14,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.57003, 33.399822)",632982.7906,3696526.415,-97.5700169,33.39982305,10.73499966,283.5019379,5.428500056,28.1996249
CFC.CLBJ008.ULAL-2.20190501,CLBJ_008.basePlot.vst.49,NEON.PLA.D11.CLBJ.00943,573ff1fc-3739-4157-8ce5-9beaf9cf03bd,CLBJ_008.basePlot.vst,3/31/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_008,31,NaN,49,6.8,108.9,NA,NA,NA,NEON.DOC.000987vE,ULAL,Ulmus alata Michx.,species,mkelley@field-ops.org,cwhiting@field-ops.org,NA,14N,3696544.376,632988.1001,0.7,33.400005,-97.570026,272.56,1.1,2019-05-01T15:43:00Z,2.36,44.82,19.01,24.828,7.17,6.186,1.044,OK,12.5,15.34,15773.09,66.18868,0.412974684,tower,basePlot,33.400005,-97.570026,WGS84,14N,632981.629,3696546.533,0.1,Geo 7X (H-Star),272.56,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570026, 33.400005)",632988.0624,3696544.33,-97.56995758,33.39998393,12.91699982,283.6324387,4.855687544,95.83831421
CFC.CLBJ016.CELA-2.20190501,CLBJ_016.basePlot.vst.41,NEON.PLA.D11.CLBJ.02682,f384b621-463a-47aa-a0b5-b5849dae601b,CLBJ_016.basePlot.vst,12/6/18,vst_CLBJ_2018,D11,CLBJ,CLBJ_016,31,4,41,4.7,227.4,NA,NA,NA,NEON.DOC.000987vG,CELA,Celtis laevigata Willd.,species,jjamison@battelleecology.org,ctaborsky@battelleecology.org,NA,14N,3697071.725,632929.0894,0.7,33.404775,-97.570476,263.14,1.1,2019-05-01T19:03:00Z,2.57,44.76,17.42,8.481,2.331,2.486,0.988,OK,7.18,13.26,19016.51,51.954854,0.373534972,tower,basePlot,33.404775,-97.570476,WGS84,14N,632932.532,3697074.894,0.1,Geo 7X (H-Star),263.14,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570476, 33.404775)",632929.0723,3697071.713,-97.57051385,33.40474664,8.614999771,268.6203747,3.932937548,141.3003759
CFC.CLBJ016.SILA20-1.20190501,CLBJ_016.basePlot.vst.49,NEON.PLA.D11.CLBJ.01016,19fa93ba-7426-446d-a7de-bb5db8eb56eb,CLBJ_016.basePlot.vst,4/18/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_016,40,1,49,7,179.5,NA,NA,NA,NEON.DOC.000987vE,SILA20,Sideroxylon lanuginosum Michx.,species,cwhiting@field-ops.org,ttillson@field-ops.org,NA,14N,3697077.86,632922.5206,0.7,33.404866,-97.570583,264.13,1.1,2019-05-01T18:36:00Z,2.65,47.24,17.85,9.742,2.824,2.551,1.266,OK,14.13,15.9,16958.93,74.650936,0.443899018,tower,basePlot,33.404866,-97.570583,WGS84,14N,632922.498,3697084.886,0.1,Geo 7X (H-Star),264.13,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570583, 33.404866)",632922.5591,3697077.886,-97.57058296,33.40480311,5.607999802,268.4861851,5.306937471,134.8346877
CFC.CLBJ021.CELA-2.20190507,CLBJ_021.basePlot.vst.49,NEON.PLA.D11.CLBJ.00604,d038c24b-a370-4256-a5ee-bb7556771249,CLBJ_021.basePlot.vst,3/29/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_021,40,NaN,49,5.1,130.7,NA,NA,NA,NEON.DOC.000987vE,CELA,Celtis laevigata Willd.,species,cwhiting@field-ops.org,ttillson@field-ops.org,NA,14N,3696421.503,632987.0202,0.7,33.398907,-97.570028,280.89,1.12,2019-05-07T20:58:00Z,2.32,43.48,18.75,18.42,5.388,5.328,0.976,OK,6.33,11.81,14804.06,65.92786,0.393548387,tower,basePlot,33.398907,-97.570028,WGS84,14N,632983.128,3696424.785,0.1,Geo 7X (H-Star),280.89,0.12,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570028, 33.398907)",632986.9945,3696421.459,-97.56998721,33.39887614,11.07400036,291.0877514,2.336374998,303.1290618
CFC.CLBJ021.PRME-1.20190507,CLBJ_021.basePlot.vst.31,NEON.PLA.D11.CLBJ.02687,21d20502-1bde-4c51-90e9-132f025b5575,CLBJ_021.basePlot.vst,11/13/18,vst_CLBJ_2018,D11,CLBJ,CLBJ_021,31,3,31,8.7,22.3,NA,NA,NA,NEON.DOC.000987vG,PRME,Prunus mexicana S. Watson,species,nfuchs@battelleecology.org,ctaborsky@battelleecology.org,NA,14N,3696412.81,632986.8238,0.7,33.398726,-97.570027,281.45,1.11,2019-05-07T20:21:00Z,2.23,45.67,20.52,16.084,5.208,5.037,0.73,OK,6.78,8.55,13681.26,53.357659,0.360315893,tower,basePlot,33.398726,-97.570027,WGS84,14N,632983.494,3696404.787,0.1,Geo 7X (H-Star),281.45,0.11,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570027, 33.398726)",632986.7953,3696412.836,-97.56999062,33.39879841,9.01099968,285.4804916,2.827687532,228.2552464
CFC.CLBJ022.JUVI-3.20190509,CLBJ_022.basePlot.vst.49,NEON.PLA.D11.CLBJ.00088,b0226d27-2cce-4f1b-90c6-264a8dc3e8cf,CLBJ_022.basePlot.vst,2/9/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,40,NaN,49,9,143.9,NA,NA,NA,NEON.DOC.000987vE,JUVI,Juniperus virginiana L.,species,nstanton@neoninc.org,cwhiting@field-ops.org,NA,14N,3697229.151,632747.1855,0.7,33.406255,-97.572502,262.5,1.11,2019-05-09T13:34:00Z,1.14,49.59,43.34,8.709,2.727,1.885,1.836,OK,14.8,13.45,5373.764,341.659961,0.53968254,tower,basePlot,33.406255,-97.572502,WGS84,14N,632741.93,3697236.377,0.1,Geo 7X (H-Star),262.5,0.11,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.572502, 33.406255)",632747.2328,3697229.105,-97.57244556,33.40618835,11.97399998,272.114439,8.145812541,146.8534379
CFC.CLBJ022.QUMA3-2.20190509,CLBJ_022.basePlot.vst.41,NEON.PLA.D11.CLBJ.00091,c75a3a66-7533-4463-b265-905a1bb99786,CLBJ_022.basePlot.vst,2/9/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,32,3,41,2.7,111.6,NA,NA,NA,NEON.DOC.000987vE,QUMA3,Quercus marilandica Münchh.,species,srubin@neoninc.org,jthomas@field-ops.org,NA,14N,3697225.477,632754.5752,0.7,33.406164,-97.572394,262.45,1.1,2019-05-09T13:15:00Z,2.1,47.57,22.61,14.224,3.821,3.483,1.58,OK,14.43,17.53,16340.94,96.689664,0.415133999,tower,basePlot,33.406164,-97.572394,WGS84,14N,632752.104,3697226.417,0.1,Geo 7X (H-Star),262.45,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.572394, 33.406164)",632754.6144,3697225.423,-97.57236674,33.40615424,6.859000206,264.9999371,6.777062505,321.8924408
CFC.CLBJ022.QUSH-1.20190509,CLBJ_022.basePlot.vst.41,NEON.PLA.D11.CLBJ.00057,c290ee0b-49e4-48a7-b4e7-85624dcbfa2e,CLBJ_022.basePlot.vst,2/9/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,41,2,41,7.4,50.8,NA,NA,NA,NEON.DOC.000987vE,QUSH,Quercus shumardii Buckley,species,nstanton@neoninc.org,cwhiting@field-ops.org,NA,14N,3697231.148,632757.7994,0.7,33.406164,-97.572394,262.45,1.1,2019-05-09T12:55:00Z,2.37,48.45,20.41,21.957,6.168,5.149,1.251,Other damage,15.03,13.63,14068.4,88.922692,0.440028139,tower,basePlot,33.406164,-97.572394,WGS84,14N,632752.104,3697226.417,0.1,Geo 7X (H-Star),262.45,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.572394, 33.406164)",632757.8386,3697231.094,-97.57233124,33.40620497,16.03700066,266.0051842,5.408937484,330.095438
CFC.CLBJ026.JUVI-1.20190509,CLBJ_026.basePlot.vst.33,NEON.PLA.D11.CLBJ.00133,425ccbcf-ade8-499e-80b4-63db713859ad,CLBJ_026.basePlot.vst,3/14/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_026,32,NaN,33,11.5,302.4,NA,NA,137,NEON.DOC.000987vE,JUVI,Juniperus virginiana L.,species,mbray@field-ops.org,aholdorf@neoninc.org,NA,14N,3696922.62,633021.9404,0.7,33.403334,-97.569434,268.3,1.1,2019-05-09T17:24:00Z,1.29,49.82,38.64,9.25,2.965,1.87,1.974,OK,14.59,13.31,5636.569,350.213046,0.489098117,tower,basePlot,33.403334,-97.569434,WGS84,14N,633031.618,3696916.422,0.1,GeoXH 6000,268.3,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.569434, 33.403334)",633021.9082,3696922.584,-97.56953783,33.40339044,7.193999767,272.3620625,5.763062477,323.9665604
CFC.CLBJ028.CELA-1.20190501,CLBJ_028.basePlot.vst.51,NEON.PLA.D11.CLBJ.01030,ea4530aa-3d5f-408e-855e-f13bfdb69633,CLBJ_028.basePlot.vst,4/14/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_028,31,NaN,51,6.3,263.2,NA,NA,NA,NEON.DOC.000987vE,CELA,Celtis laevigata Willd.,species,mkelley@field-ops.org,ttillson@field-ops.org,NA,14N,3696754.114,632935.6203,0.7,33.401888,-97.570423,266.51,1.1,2019-05-01T17:17:00Z,3.07,43.45,14.16,18.888,6.04,5.028,0.655,OK,5.28,11.11,15168.81,43.180711,0.302400739,tower,basePlot,33.401888,-97.570423,WGS84,14N,632941.835,3696754.871,0.1,GeoXH 6000,266.51,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570423, 33.401888)",632935.5793,3696754.125,-97.5704908,33.40188215,11.47700024,273.3063145,4.645062491,299.5212517
CFC.CLBJ028.JUVI-2.20190501,CLBJ_028.basePlot.vst.51,NEON.PLA.D11.CLBJ.02012,8195f60e-3eaa-4d72-86da-1691b0726730,CLBJ_028.basePlot.vst,11/14/17,vst_CLBJ_2017,D11,CLBJ,CLBJ_028,41,NaN,51,5.6,221.9,NA,NA,NA,NEON.DOC.000987vE,JUVI,Juniperus virginiana L.,species,jjamison@battelleecology.org,tsheriff@battelleecology.org,NA,14N,3696750.692,632938.1361,0.7,33.401888,-97.570423,266.51,1.1,2019-05-01T17:36:00Z,1.32,49.6,37.7,10.968,3.826,2.493,1.451,OK,15.48,12.99,5132.424,282.712418,0.506103941,tower,basePlot,33.401888,-97.570423,WGS84,14N,632941.835,3696754.871,0.1,GeoXH 6000,266.51,0.1,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-97.570423, 33.401888)",632938.0951,3696750.703,-97.57046426,33.40185098,11.87699986,273.9686909,5.766750008,292.0025578
CFC.CLBJ038.QUST-2.20190502,CLBJ_038.basePlot.vst.41,NEON.PLA.D11.CLBJ.01537,04edaf0a-a72d-490d-8cfc-4c931abad5e3,CLBJ_038.basePlot.vst,10/19/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_038,41,NaN,41,6.4,19,NA,NA,NA,NEON.DOC.000987vE,QUST,Quercus stellata Wangenh.,species,mbray@field-ops.org,jjamison@field-ops.org,NA,14N,3698098.851,630444.6534,0.7,33.414259,-97.597098,282.16,1.1,2019-05-02T19:35:00Z,1.94,47.16,24.29,9.793,3.035,1.966,1.7,OK,16.02,17.9,17886.72,95.042579,0.425106277,distributed,basePlot,33.414259,-97.597098,WGS84,14N,630442.527,3698092.838,0.1,GeoXH 6000,282.16,0.1,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-97.597098, 33.414259)",630444.6106,3698098.889,-97.59707517,33.41431367,7.967999935,287.6234379,5.527437478,143.6999378
CFC.CLBJ038.SILA20-1.20190502,CLBJ_038.basePlot.vst.41,NEON.PLA.D11.CLBJ.01550,81674ec3-f226-49ef-9a4f-60599f7aa065,CLBJ_038.basePlot.vst,10/19/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_038,40,NaN,41,4.6,296.4,NA,NA,NA,NEON.DOC.000987vE,SILA20,Sideroxylon lanuginosum Michx.,species,mbray@field-ops.org,jjamison@field-ops.org,NA,14N,3698094.845,630438.4495,0.7,33.414259,-97.597098,282.16,1.1,2019-05-02T19:07:00Z,2.46,47.6,19.38,12.83,3.938,3.56,1.001,OK,13.12,17.9,11750.14,85.190474,0.45582878,distributed,basePlot,33.414259,-97.597098,WGS84,14N,630442.527,3698092.838,0.1,GeoXH 6000,282.16,0.1,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-97.597098, 33.414259)",630438.4067,3698094.883,-97.59714246,33.4142783,9.303999901,289.2163715,4.704812512,116.7006254
CFC.CLBJ040.JUVI-2.20190503,CLBJ_040.basePlot.vst.41,NEON.PLA.D11.CLBJ.01505,887dfa1e-8c17-40bf-819a-c8b0bfaac31f,CLBJ_040.basePlot.vst,11/9/16,vst_CLBJ_2016,D11,CLBJ,CLBJ_040,40,3,41,4.4,357.9,NA,NA,NA,NEON.DOC.000987vE,JUVI,Juniperus virginiana L.,species,aguy@field-ops.org,jbarnett@field-ops.org,NA,14N,3694107.089,625881.9695,0.7,33.378824,-97.646691,331.56,1.1,2019-05-03T16:14:00Z,1.16,50.07,43.14,9.14,3.118,2.067,1.597,OK,13.47,11.4,3710.789,430.366696,0.579883805,distributed,basePlot,33.378824,-97.646691,WGS84,14N,625882.111,3694102.735,0.1,Geo 7X (H-Star),331.56,0.1,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-97.646691, 33.378824)",625881.9498,3694107.132,-97.64669232,33.37886406,9.940999985,339.0613117,7.440375,10.33881246
