individualID,sampleID,plotID,dataEntryLatitude,dataEntryLongitude,dataEntryAltitude,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,taxonID,plantStatus,lmaSampleID,lmaSampleCode,lmaSampleCondition,dryMass,lmaFreshMass,leafArea,dryMassFraction,percentGreen,subsample1Height,chlA_perc,chlB_perc,carot_perc,extractChlAConc,extractChlBConc,extractCarotConc,solventVolume,freshMass,chlA_perc_dw,chlB_perc_dw,carot_perc_dw
NEON.PLA.D03.JERC.00329,CFC.JERC019.CATO6-2.20190910,JERC_019.basePlot.cfc,31.228902312,-84.4760266599,41.9558372498,A00000134996,CFC.JERC019.CATO6-2.20190910.CHL,B00000063478,CATO6,Disease damaged,CFC.JERC019.CATO6-2.20190910.LMA,A00000134997,OK,5.582,9.563,40176.31,0.58370804141,100,3.3,833.8285714285714,260.91428571428565,272.79999999999995,7.296,2.283,2.387,8,0.07,0.14285027998147543,0.04469945027380871,0.04673569329986044
NA,CFC.JERC029.CLIP-2.20190910,JERC_029.basePlot.cfc,31.2288872665085,-84.4760798849952,38.9017295837402,A00000134925,CFC.JERC029.CLIP-2.20190910.CHL,B00000063481,NA,NA,CFC.JERC029.CLIP-2.20190910.LMA,A00000129028,OK,1.081,2.439,16920.56,0.443214432144,100,NA,1469.031377899045,489.05866302864933,387.99454297407914,13.46,4.481,3.555,8,0.0733,0.33144935529124603,0.11034357808767259,0.08754104443242047
NEON.PLA.D03.JERC.05921,CFC.JERC029.SAAL5-1.20190910,JERC_029.basePlot.cfc,31.2288824888237,-84.476058259685,45.6589012145996,A00000134896,CFC.JERC029.SAAL5-1.20190910.CHL,B00000063482,SAAL5,OK,CFC.JERC029.SAAL5-1.20190910.LMA,A00000135006,OK,2.089,4.922,28613.32,0.424420967087,100,1.5,1144.3767313019391,401.84672206832875,326.13111726685133,15.492,5.44,4.415,8,0.1083,0.26963246871527885,0.09468116639627659,0.07684142456609579
NEON.PLA.D03.JERC.00330,CFC.JERC019.QUFA-1.20190910,JERC_019.basePlot.cfc,31.2288627075322,-84.4760223851395,37.1513633728027,A00000134878,CFC.JERC019.QUFA-1.20190910.CHL,B00000063477,QUFA,Leaves beginning to senesce,CFC.JERC019.QUFA-1.20190910.LMA,A00000129026,OK,2.175,3.62,12856.46,0.600828729282,100,12.2,921.5123859191656,257.73142112125163,287.0404172099087,8.835,2.471,2.752,8,0.0767,0.15337355572533753,0.04289598825096876,0.04777408323215946
NEON.PLA.D03.JERC.04635,CFC.JERC050.PIEC2-3.20190909,JERC_050.basePlot.cfc,31.2288843328424,-84.476010650475,47.1390037536621,A00000134897,CFC.JERC050.PIEC2-3.20190909.CHL,B00000063491,PIEC2,OK,CFC.JERC050.PIEC2-3.20190909.LMA,A00000134986,OK,1.209,2.889,6105.24,0.418483904465,100,22.7,243.02470973504023,119.70229234891337,63.13783864245311,10.204,5.026,2.651,8,0.3359,0.05807265396401063,0.028603798395052664,0.01508728005278245
NEON.PLA.D03.JERC.04631,CFC.JERC050.CELA-2.20190909,JERC_050.basePlot.cfc,31.2289378932037,-84.476039568041,42.9753684997559,A00000134898,CFC.JERC050.CELA-2.20190909.CHL,B00000063490,CELA,OK,CFC.JERC050.CELA-2.20190909.LMA,A00000134985,OK,1.858,2.862,21344.99,0.649196366177,100,7.9,2103.337016574586,662.7182320441989,533.6574585635359,23.794,7.497,6.037,8,0.0905,0.3239908795178194,0.10208286222346356,0.08220277967761097
NEON.PLA.D03.JERC.04621,CFC.JERC050.ACFL-1.20190909,JERC_050.basePlot.cfc,31.2289996259205,-84.4760145061505,45.0212059020996,A00000134899,CFC.JERC050.ACFL-1.20190909.CHL,B00000063492,ACFL,OK,CFC.JERC050.ACFL-1.20190909.LMA,A00000134990,OK,1.859,2.718,22917.57,0.68395879323,100,10,925.7142857142857,329.795918367347,286.32653061224494,9.072,3.232,2.806,8,0.0784,0.13534649965425458,0.04821868241650693,0.04186312588512328
NEON.PLA.D03.JERC.00092,CFC.JERC002.PIPA2-1.20190905,JERC_002.basePlot.cfc,31.2289181957,-84.476003442,42.4721946716,A00000134962,CFC.JERC002.PIPA2-1.20190905.CHL,B00000063454,PIPA2,OK,CFC.JERC002.PIPA2-1.20190905.LMA,A00000134978,OK,1.959,4.628,8401.99,0.423292999136,100,15.6,335.7305016477481,142.18967411204687,105.221530574881,11.461,4.854,3.592,8,0.2731,0.07931397455970708,0.03359131249566514,0.024857848060244988
NEON.PLA.D03.JERC.03440,CFC.JERC048.PIPA2-1.20190905,JERC_048.basePlot.cfc,31.2289399468,-84.4760393166,32.9821128845,A00000134886,CFC.JERC048.PIPA2-1.20190905.CHL,B00000063487,PIPA2,OK,CFC.JERC048.PIPA2-1.20190905.LMA,A00000134987,OK,1.903,4.488,7347.16,0.424019607843,100,10.7,505.45321100917425,165.51926605504585,147.2,17.217,5.638,5.014,8,0.2725,0.11920515034208662,0.03903575754363038,0.034715375722554585
NEON.PLA.D03.JERC.04154,CFC.JERC049.PIPA2-2.20190905,JERC_049.basePlot.cfc,31.2290222151,-84.4760368858,42.5005149841,A00000134884,CFC.JERC049.PIPA2-2.20190905.CHL,B00000063489,PIPA2,OK,CFC.JERC049.PIPA2-2.20190905.LMA,A00000134980,OK,2.116,4.89,9171.16,0.432719836401,100,16.1,453.758389261745,149.76510067114094,130.50335570469798,13.522,4.463,3.889,8,0.2384,0.1048619340023157,0.03461017685640696,0.03015885677673463
NEON.PLA.D03.JERC.01420,CFC.JERC011.PIPA2-1.20190905,JERC_011.basePlot.cfc,31.2289460236,-84.4759825711,45.317653656,A00000134934,CFC.JERC011.PIPA2-1.20190905.CHL,B00000063475,PIPA2,OK,CFC.JERC011.PIPA2-1.20190905.LMA,A00000134966,OK,1.505,3.553,6803.12,0.423585702223,100,17.2,351.6784869976359,127.34436564223797,98.8810086682427,11.157,4.04,3.137,8,0.2538,0.08302416374112931,0.030063423995174546,0.023343802245758053
NEON.PLA.D03.JERC.05928,CFC.JERC009.PRSE2-3.20190905,JERC_009.basePlot.cfc,31.228913418,-84.4760660549,44.5897483826,A00000134968,CFC.JERC009.PRSE2-3.20190905.CHL,B00000063472,PRSE2,OK,CFC.JERC009.PRSE2-3.20190905.LMA,A00000134931,OK,2.424,4.34,22950.08,0.558525345622,100,3.6,1338.9662921348315,376.1498127340824,367.1011235955056,22.344,6.277,6.126,8,0.1335,0.23973241369085874,0.06734695492022558,0.06572685133683319
NEON.PLA.D03.JERC.00300,CFC.JERC009.PIPA2-2.20190905,JERC_009.basePlot.cfc,31.2289356301,-84.4760236424,45.3890037537,A00000134933,CFC.JERC009.PIPA2-2.20190905.CHL,B00000063470,PIPA2,OK,CFC.JERC009.PIPA2-2.20190905.LMA,A00000134932,OK,1.861,4.53,8764.52,0.410816777042,100,12.8,455.0520575111552,160.99157164105108,127.47645017352504,11.473,4.059,3.214,8,0.2017,0.11076764215611207,0.03918816870144329,0.0310300010363239
NEON.PLA.D03.JERC.05929,CFC.JERC009.RHCO-1.20190905,JERC_009.basePlot.cfc,31.2288916251,-84.4760223851,48.9587059021,A00000134916,CFC.JERC009.RHCO-1.20190905.CHL,B00000063471,RHCO,OK,CFC.JERC009.RHCO-1.20190905.LMA,A00000134914,OK,2.019,4.36,16012.58,0.463073394495,100,1.8,1127.135135135135,332.3963963963964,283.8918918918919,15.639,4.612,3.939,8,0.111,0.24340312972726943,0.07178049966763649,0.061306025193152654
NEON.PLA.D03.JERC.00107,CFC.JERC008.QUMA6-3.20190905,JERC_008.basePlot.cfc,31.2288369751,-84.4759067987,43.4444847107,A00000134900,CFC.JERC008.QUMA6-3.20190905.CHL,B00000063468,QUMA6,OK,CFC.JERC008.QUMA6-3.20190905.LMA,A00000134967,OK,3.977,6.94,31489.04,0.573054755043,100,11.2,1647.5546719681909,476.1829025844931,423.4592445328032,20.718,5.988,5.325,8,0.1006,0.28750388291334644,0.08309553291269035,0.07389507561123516
NEON.PLA.D03.JERC.05927,CFC.JERC008.SAAL5-2.20190905,JERC_008.basePlot.cfc,31.2288802676,-84.4758985006,48.3760643005,A00000134901,CFC.JERC008.SAAL5-2.20190905.CHL,B00000063467,SAAL5,Other damage,CFC.JERC008.SAAL5-2.20190905.LMA,A00000134948,OK,2.223,4.6,26798.06,0.483260869565,100,1.8,1651.111111111111,554.8971193415638,440.4115226337449,20.061,6.742,5.351,8,0.0972,0.341660418853555,0.11482351547333972,0.09113328853423922
NEON.PLA.D03.JERC.00104,CFC.JERC008.QUFA-1.20190905,JERC_008.basePlot.cfc,31.2288834947,-84.4760481176,49.0613059998,A00000134951,CFC.JERC008.QUFA-1.20190905.CHL,B00000063469,QUFA,OK,CFC.JERC008.QUFA-1.20190905.LMA,A00000134915,OK,1.61,2.78,14280.94,0.579136690647,100,17.7,1396.083916083916,359.02097902097904,387.83216783216784,19.964,5.134,5.546,8,0.1144,0.2410629370631377,0.061992442340320024,0.06696729357604496
NA,CFC.JERC030.CLIP-3.20190905,JERC_030.basePlot.cfc,31.2288274616,-84.4761698228,50.3919944763,A00000134881,CFC.JERC030.CLIP-3.20190905.CHL,B00000063484,NA,NA,CFC.JERC030.CLIP-3.20190905.LMA,A00000135004,OK,0.554,1.68,10962.6,0.329761904762,100,NA,2203.55795148248,707.3495058400719,567.5471698113207,30.657,9.841,7.896,8,0.1113,0.6682269600161547,0.21450309924385874,0.17210816701854575
NEON.PLA.D03.JERC.00003,CFC.JERC005.PIPA2-2.20190905,JERC_005.basePlot.cfc,31.2289187406,-84.476013165,49.6986961365,A00000134974,CFC.JERC005.PIPA2-2.20190905.CHL,B00000063461,PIPA2,OK,CFC.JERC005.PIPA2-2.20190905.LMA,A00000134908,OK,1.227,3.08,5757.16,0.398376623377,100,12.1,336.6511627906977,119.39534883720933,94.88372093023257,7.238,2.567,2.04,8,0.172,0.08450575235487927,0.029970470612734886,0.023817592539921762
NEON.PLA.D03.JERC.05914,CFC.JERC030.QUHE2-2.20190905,JERC_030.basePlot.cfc,31.228925949,-84.4759799727,44.7605247498,A00000134880,CFC.JERC030.QUHE2-2.20190905.CHL,B00000063483,QUHE2,OK,CFC.JERC030.QUHE2-2.20190905.LMA,A00000135003,OK,1.658,3.16,14900.94,0.524683544304,100,1.9,1381.279876638396,384.33307632999225,351.51888974556664,22.394,6.231,5.699,8,0.1297,0.26325961460649255,0.07325045363101972,0.06699636258115572
NEON.PLA.D03.JERC.01788,CFC.JERC030.PRSE2-1.20190905,JERC_030.basePlot.cfc,31.2288931758,-84.4759064634,45.1503562927,A00000134888,CFC.JERC030.PRSE2-1.20190905.CHL,B00000063485,PRSE2,Leaves beginning to senesce,CFC.JERC030.PRSE2-1.20190905.LMA,A00000134988,OK,2.885,5.18,23503.22,0.55694980695,100,5.7,1563.7636761487965,475.3902261123268,387.6878191101386,26.799,8.147,6.644,8,0.1371,0.2807728194955965,0.08535602673348351,0.0696091127552798
NEON.PLA.D03.JERC.00028,CFC.JERC005.QUIN-1.20190905,JERC_005.basePlot.cfc,31.2288926309,-84.476060439,45.3312644958,A00000134911,CFC.JERC005.QUIN-1.20190905.CHL,B00000063460,QUIN,OK,CFC.JERC005.QUIN-1.20190905.LMA,A00000134995,OK,2.467,4.62,24902.15,0.533982683983,100,2,1400.4819277108434,384.8007414272475,408.74884151992586,18.889,5.19,5.513,8,0.1079,0.26227103794164036,0.07206240070501951,0.07654720907259586
NEON.PLA.D03.JERC.05926,CFC.JERC006.QUIN-1.20190904,JERC_006.basePlot.cfc,31.2288396154,-84.4759534859,46.9255027771,A00000134975,CFC.JERC006.QUIN-1.20190904.CHL,B00000063463,QUIN,OK,CFC.JERC006.QUIN-1.20190904.LMA,A00000134889,OK,2.218,3.689,18135.08,0.601246950393,100,1.6,1589.796672828096,435.4158964879852,396.7467652495379,21.502,5.889,5.366,8,0.1082,0.2644165881904164,0.07241881163860861,0.06598732267834502
NA,CFC.JERC012.CLIP-1.20190904,JERC_012.basePlot.cfc,31.2289421261,-84.4761790429,50.0180931091,A00000134943,CFC.JERC012.CLIP-1.20190904.CHL,B00000023305,NA,NA,CFC.JERC012.CLIP-1.20190904.LMA,A00000134926,OK,0.245,0.469,4860.27,0.522388059701,100,NA,1791.7460317460318,589.04071773637,433.5127674258109,32.453,10.669,7.852,8,0.1449,0.34299138322027806,0.11275922310964,0.08298672976444776
NA,CFC.JERC014.CLIP-1.20190904,JERC_014.basePlot.cfc,31.2289047009,-84.4757225645,49.9648704529,A00000134960,CFC.JERC014.CLIP-1.20190904.CHL,B00000023302,NA,NA,CFC.JERC014.CLIP-1.20190904.LMA,A00000134959,OK,0.597,2.549,15630.051,0.234209493919,100,NA,819.7209302325582,229.87906976744185,271.7023255813953,11.015,3.089,3.651,8,0.1075,0.34999474893876587,0.09815104670647731,0.11600824588065674
NEON.PLA.D03.JERC.05908,CFC.JERC003.VIRO3-3.20190903,JERC_003.basePlot.cfc,31.2287083548,-84.4762692322,50.2209739685,A00000134913,CFC.JERC003.VIRO3-3.20190903.CHL,B00000063458,VIRO3,OK,CFC.JERC003.VIRO3-3.20190903.LMA,A00000134994,OK,2.792,4.478,30757.88,0.623492630639,100,13.8,2029.5704295704297,685.7142857142858,505.57442557442556,25.395,8.58,6.326,8,0.1001,0.32551634611789726,0.1099795333605654,0.0810874741304122
NEON.PLA.D03.JERC.00301,CFC.JERC003.ULAL-1.20190903,JERC_003.basePlot.cfc,31.2288791361,-84.4758353011,47.2960472107,A00000134928,CFC.JERC003.ULAL-1.20190903.CHL,B00000063457,ULAL,Physically damaged,CFC.JERC003.ULAL-1.20190903.LMA,A00000134993,OK,1.326,1.972,19550.935,0.672413793103,100,4.7,1623.778071334214,505.57463672391015,460.8718626155878,15.365,4.784,4.361,8,0.0757,0.24148494394217232,0.07518802289745216,0.0685399180300562
NEON.PLA.D03.JERC.00245,CFC.JERC007.PIEL-3.20190903,JERC_007.basePlot.cfc,31.2289486639,-84.4760236424,44.0632591248,A00000134892,CFC.JERC007.PIEL-3.20190903.CHL,B00000063465,PIEL,OK,CFC.JERC007.PIEL-3.20190903.LMA,A00000134891,OK,2.462,5.906,8730.58,0.416864205892,100,16.5,309.9171270718232,99.3646408839779,91.13259668508286,11.219,3.597,3.299,8,0.2896,0.07434486403280104,0.02383621320313623,0.02186145881488641
NEON.PLA.D03.JERC.05906,CFC.JERC007.PRSE2-2.20190903,JERC_007.basePlot.cfc,31.2289539026,-84.4759695791,45.7742576599,A00000134902,CFC.JERC007.PRSE2-2.20190903.CHL,B00000063466,PRSE2,Disease damaged,CFC.JERC007.PRSE2-2.20190903.LMA,A00000134965,OK,2.399,3.744,24727.84,0.640758547009,100,2.4,1053.0821917808219,305.958904109589,286.71232876712327,15.375,4.467,4.186,8,0.1168,0.16434930079302248,0.04774948465967034,0.044745767357371846
NEON.PLA.D03.JERC.05907,CFC.JERC007.RHCO-1.20190903,JERC_007.basePlot.cfc,31.228937977,-84.4759440982,50.1205101013,A00000134893,CFC.JERC007.RHCO-1.20190903.CHL,B00000063464,RHCO,Leaves beginning to senesce,CFC.JERC007.RHCO-1.20190903.LMA,A00000134890,OK,2.372,3.402,18420.55,0.697236919459,100,2.2,1890.8825674690008,589.0590809628009,524.7556528081692,32.405,10.095,8.993,8,0.1371,0.27119656385037305,0.08448478049898211,0.07526217246432355
NEON.PLA.D03.JERC.00304,CFC.JERC003.QUNI-4.20190903,JERC_003.basePlot.cfc,31.2288522302,-84.4759420865,46.3724021912,A00000134945,CFC.JERC003.QUNI-4.20190903.CHL,B00000063455,QUNI,Insect damaged,CFC.JERC003.QUNI-4.20190903.LMA,A00000134977,OK,3.907,6.98,30847.92,0.559742120344,100,14.8,1834.2098914354644,512.8106151990349,460.79613992762364,19.007,5.314,4.775,8,0.0829,0.32768838091159136,0.09161551303015711,0.08232293464791123
NEON.PLA.D03.JERC.00320,CFC.JERC003.QUVI-2.20190903,JERC_003.basePlot.cfc,31.2289649668,-84.475965472,50.7625999451,A00000134929,CFC.JERC003.QUVI-2.20190903.CHL,B00000063456,QUVI,OK,CFC.JERC003.QUVI-2.20190903.LMA,A00000134991,OK,4.595,8.041,28489.35,0.57144633752,100,16,1680.441379310345,490.5931034482759,418.2068965517242,15.229,4.446,3.79,8,0.0725,0.29406809860803973,0.08585112393534339,0.07318393155981814
NEON.PLA.D13.NIWO.01161,CFC.NIWO016.PIFL2-2.20190827,NIWO_016.basePlot.cfc,40.0159385,-105.2458668,1585.09997558594,A00000091279,CFC.NIWO016.PIFL2-2.20190827.CHL,B00000022542,PIFL2,OK,CFC.NIWO016.PIFL2-2.20190827.LMA,A00000092330,OK,0.667,1.478,2180,0.451285520974,99,6.4,620.5747906766237,209.49536094138944,147.25503507580902,34.279,11.572,8.134,8,0.4419,0.1375126747557179,0.04642191056545312,0.0326301262132212
NEON.PLA.D13.NIWO.01162,CFC.NIWO016.PICOL-1.20190827,NIWO_016.basePlot.cfc,40.0159417,-105.2458687,1585,A00000091300,CFC.NIWO016.PICOL-1.20190827.CHL,B00000012461,PICOL,OK,CFC.NIWO016.PICOL-1.20190827.LMA,A00000092331,OK,0.725,1.59,2371,0.455974842767,99,6.4,621.1323896752706,230.69109075770191,120.94920899250624,37.299,13.853,7.263,8,0.4804,0.13622075856335455,0.05059294266275639,0.026525412730787533
NEON.PLA.D13.NIWO.04903,CFC.NIWO063.SALIX-1.20190826,NIWO_063.basePlot.cfc,40.0159224,-105.2458563,1585,A00000091283,CFC.NIWO063.SALIX-1.20190826.CHL,B00000022547,SALIX,OK,CFC.NIWO063.SALIX-1.20190826.LMA,A00000092329,OK,1.212,2.685,12872,0.451396648045,99,0.3,1341.26582278481,356.45569620253167,402.7848101265823,15.894,4.224,4.773,8,0.0948,0.29713685925534356,0.07896728913392294,0.08923079333243707
NEON.PLA.D13.NIWO.01512,CFC.NIWO007.ABLAL-2.20190826,NIWO_007.basePlot.cfc,40.0159344,-105.2458677,1585,A00000091768,CFC.NIWO007.ABLAL-2.20190826.CHL,B00000022537,ABLAL,OK,CFC.NIWO007.ABLAL-2.20190826.LMA,A00000092326,OK,0.516,0.997,1773,0.517552657974,100,5.2,876.1683277962346,295.28239202657807,184.4296788482835,39.559,13.332,8.327,8,0.3612,0.1692906633357973,0.05705359396326625,0.03563495926583544
NEON.PLA.D13.NIWO.01515,CFC.NIWO007.PICOL-1.20190826,NIWO_007.basePlot.cfc,40.015924,-105.2458501,1585,A00000091301,CFC.NIWO007.PICOL-1.20190826.CHL,B00000012460,PICOL,OK,CFC.NIWO007.PICOL-1.20190826.LMA,A00000092328,OK,0.58,1.245,2332,0.465863453815,96,6.8,487.91190864600327,178.41761827079932,89.9347471451876,29.909,10.937,5.513,8,0.4904,0.1047328148732094,0.038298264611598215,0.019304958654451948
NEON.PLA.D13.NIWO.01726,CFC.NIWO011.PICOL-1.20190826,NIWO_011.basePlot.cfc,40.0159408,-105.2458655,1585,A00000091302,CFC.NIWO011.PICOL-1.20190826.CHL,B00000012471,PICOL,OK,CFC.NIWO011.PICOL-1.20190826.LMA,A00000092327,OK,0.652,1.368,2218,0.47660818713500003,97,6.8,416.85707032241686,153.39933993399342,83.69636963696371,20.525,7.553,4.121,8,0.3939,0.08746326260743428,0.032185628378755236,0.01756083338393358
NA,CFC.NIWO067.CLIP-4.20190822,NIWO_067.basePlot.cfc,40.0159033,-105.2458453,1585,A00000091266,CFC.NIWO067.CLIP-4.20190822.CHL,B00000022538,NA,NA,CFC.NIWO067.CLIP-4.20190822.LMA,A00000092325,OK,0.495,1.015,8168,0.487684729064,97,NA,1393.4640522875818,424.8739495798319,424.72455648926234,18.655,5.688,5.686,8,0.1071,0.2857305076913151,0.08712061794415439,0.08708998481548205
NEON.PLA.D13.NIWO.00275,CFC.NIWO067.PIEN-3.20190822,NIWO_067.basePlot.cfc,40.0159125,-105.2458512,1585,A00000091785,CFC.NIWO067.PIEN-3.20190822.CHL,B00000022536,PIEN,OK,CFC.NIWO067.PIEN-3.20190822.LMA,A00000092321,OK,0.55,1.036,1456,0.530888030888,97,2.5,493.3153784002155,158.7287907352545,124.92324266092108,22.896,7.367,5.798,8,0.3713,0.09292267854957328,0.029898732218496954,0.023530996253949416
NEON.PLA.D13.NIWO.00283,CFC.NIWO067.ABLAL-2.20190822,NIWO_067.basePlot.cfc,40.0159445,-105.2458774,1585,A00000091819,CFC.NIWO067.ABLAL-2.20190822.CHL,B00000022533,ABLAL,OK,CFC.NIWO067.ABLAL-2.20190822.LMA,A00000092322,OK,0.571,1.118,2088,0.510733452594,100,3.4,706.1233781015251,244.5709082631459,147.9262463009333,38.775,13.43,8.123,8,0.4393,0.13825673147414674,0.047886212861322774,0.02896349270830416
NEON.PLA.D13.NIWO.04902,CFC.NIWO067.SALIX-1.20190822,NIWO_067.basePlot.cfc,40.0159408,-105.2458834,1585,A00000091284,CFC.NIWO067.SALIX-1.20190822.CHL,B00000022545,SALIX,OK,CFC.NIWO067.SALIX-1.20190822.LMA,A00000092324,OK,0.862,1.902,9540,0.453207150368,97,0.4,1810.4517704517705,470.81807081807085,554.6275946275946,37.069,9.64,11.356,8,0.1638,0.3994755530625897,0.10388584346821776,0.12237838572874282
NA,CFC.NIWO042.CLIP-3.20190822,NIWO_042.basePlot.cfc,40.0156962,-105.2463571,1595.8,A00000091886,CFC.NIWO042.CLIP-3.20190822.CHL,B00000022539,NA,NA,CFC.NIWO042.CLIP-3.20190822.LMA,A00000092317,OK,0.544,1.488,5690,0.365591397849,97,NA,1406.4670658682633,414.89820359281435,421.1736526946107,29.36,8.661,8.792,8,0.167,0.3847101091938644,0.11348686157111923,0.11520338147249509
NEON.PLA.D13.NIWO.00581,CFC.NIWO042.ABLAL-2.20190822,NIWO_042.basePlot.cfc,40.0159393,-105.2458467,1585,A00000091802,CFC.NIWO042.ABLAL-2.20190822.CHL,B00000022534,ABLAL,OK,CFC.NIWO042.ABLAL-2.20190822.LMA,A00000092323,OK,0.501,0.988,1993,0.507085020243,99,1.1,843.3656455990694,303.90073671965877,201.0391624660721,27.188,9.797,6.481,8,0.2579,0.16631641873288244,0.05993092372833784,0.03964604641046826
